Item,Category,Description,Qty,Spec,Source,Est Cost,Status,Notes
UI-002,UI/Host,Pi 5 official 27W USB-C PSU,1,"Official Raspberry Pi 27W USB-C power supply 5V/5A; white or black",Amazon — official Pi 5 27W PSU,$12,Needs sourcing,"DR-017: Pi 5 requires this PSU spec — undervolts on weaker (Pi 4 era 15W) supplies. Powers Pi + display via Pi USB rail. Display USB draw must fit in 1.6A USB budget — see verification gate G2."
UI-003,UI/Host,Pi 5 active cooler,1,"Official Pi 5 active cooler (heatsink + fan) or equivalent low-profile clone",Amazon — official Pi 5 active cooler,$5,Needs sourcing,"DR-017: Pi 5 throttles fast without active cooling under sustained load. Fullscreen Artisan + USB serial is light load but enclosure ambient (Zone E) may exceed 30C — keep margin."
UI-004,UI/Host,microSD boot card,1,"microSD 64GB A2 V30 (SanDisk Extreme or Samsung Pro Plus class)",Amazon — SanDisk Extreme 64GB or equivalent,$10,Needs sourcing,"DR-017: boot drive for Raspberry Pi OS 64-bit. A2 / V30 ratings give the random-IO performance Pi 5 expects. 64GB is plenty for OS + Artisan + roast logs."
UI-005,UI/Host,micro-HDMI to HDMI cable,1,"Micro-HDMI (Type D) male to HDMI (Type A) male; ~12 in / 30 cm; gold-plated",Amazon — generic short micro-HDMI cable,$5,Needs sourcing,"DR-017: Pi 5 has 2x micro-HDMI outputs; on-hand display uses full-size HDMI. Short cable for Zone E integrated mount. Verify display HDMI input is Type A standard before locking (G1)."
UI-006,UI/Host,Pi to ESP32 USB cable,1,"USB-A male to ESP32 connector (typically micro-B or USB-C); short ~12-18 in; with snap-on ferrite from FERR-001",Amazon — short USB cable matching ESP32 dev board connector,$3-5,Needs sourcing,"DR-017: USB serial tether between Pi 5 and ESP32 (Variant A transport). Short cable + ferrite from FERR-001 to manage EMI between TRIAC switching and USB signal. Positive-latch USB-C preferred over micro-B if ESP32 breakout supports it (per DR-016 USB-drop mitigation)."
UI-007,UI/Host,Zone E mounting hardware,1 lot,"Standoffs / brackets / fasteners for Pi 5 + display mount; M2.5 standoffs for Pi PCB; M3 for display brackets; bracket fab from BASE-001 angle iron offcut",Hardware store + BASE-001 offcuts,$5-10,Needs sourcing,"DR-017: integrated mount of Pi 5 + 7in display to Zone E (front of baseplate). Geometry deferred until G3 (mockup fit check). Likely vertical orientation facing operator; thermal baffle between Zone B/C and Zone E to keep Pi enclosure ambient below 50C."
THFUSE-001,Electrical,Thermal fuse - heater can body,1,"228C one-shot (240C accepted)",Amazon — NEC SF240E B015675DA8,$1-2,Sourced,"Mounts on heater can body; independent last-resort cutoff if SSR fails shorted. NEC SEFUSE 240C 10A axial — 228C unavailable from major sellers in singles. 240C is 12C above target but well below nichrome failure; acceptable per safety-critical substitution review. Link: https://www.amazon.com/dp/B015675DA8"
THFUSE-002,Electrical,Thermal fuse - airstream,1,"192C one-shot",Amazon — BF192 B0FJ5WJM9Z (10-pack),$1-2,Sourced,"E6: Mounts in heated airstream downstream of element. Lower rating than THFUSE-001 and lower thermal lag — trips faster on no-airflow overheat. AUPO BF192 10A axial. 10-pack — keep spares for replacements after trips. Link: https://www.amazon.com/dp/B0FJ5WJM9Z"
Q2-001,Electrical,NPN transistor (SSR buffer),1,"2N2222 or similar TO-92",Amazon — OCR transistor kit B071KK9B3H,$0-1,Sourced,"E7: Buffers ESP32 3.3V GPIO to 5V for reliable SSR triggering. Kit covers 2N2222 and many other useful TO-92 BJTs. Link: https://www.amazon.com/dp/B071KK9B3H"
R3-001,Electrical,SSR buffer base resistor,1,"1k ohm 1/4W axial",Amazon — ELEGOO 525pc resistor kit B072BL2VX1,$0-1,Sourced,"E7: Limits base current for Q2 NPN buffer. ELEGOO 17-value 1% kit covers a wide range — keep on hand for incidental needs. Link: https://www.amazon.com/dp/B072BL2VX1"
R-SNB-001,Electrical,Snubber resistor,1,"47 ohm 2W",Amazon — uxcell 60-pack B07V2NV3P9,$0-1,Sourced,"E10: RC snubber across SSR output — suppresses inductive spikes. Metal oxide flame-proof axial 5%. Link: https://www.amazon.com/dp/B07V2NV3P9"
C-SNB-001,Electrical,Snubber capacitor,1,"0.01uF 275VAC X2-rated film cap",Amazon — X2 275VAC 10nF B09JWZ5MWQ,$1-2,Sourced,"E10: RC snubber across SSR output — must be X2-rated for mains use. 275VAC X2 = equivalent safety class to 400VDC for mains snubber duty. 103K 10mm pitch. Link: https://www.amazon.com/dp/B09JWZ5MWQ"
CHAM-001A,Mechanical,Roast chamber - primary (SS),1,"2.5 in OD 304 SS exhaust pipe 12 in length","In hand 2026-05-09 — existing 24in 2.5in OD SS exhaust pipe stock",$0,In hand,"Cut plan from 24in 2.5in stock: 12in CHAM-001A + 7in HTR-CAN-001 + ~2in PLEN-005 stub tube (~3in scrap). Standard exhaust size; ~2.37 in ID. T3: L/D ~1.0 — slugging risk; 3.0in may be preferred."
CHAM-001B,Mechanical,Roast chamber - backup (SS),1,"3.0 in OD 304 SS exhaust pipe 12 in length","In hand 2026-05-09 — existing 24in 3.0in OD SS exhaust pipe stock",$0,In hand,"Cut plan from 24in 3.0in stock: 12in CHAM-001B + ~12in scrap retained for EXH-004 cone reducer fab and future use. Standard exhaust size; ~2.87 in ID. T3: L/D ~0.57 — better fluidization geometry."
CHAM-001C,Mechanical,Roast chamber - glass option,1,"3.0 in OD borosilicate glass cylinder ~8 in (down from 10-12 in target)",Amazon — SUNWO B06XJT46QL,$5-10,Sourced,"A3: Visual feedback on fluidization and roast development. Borosilicate 3in dia x 8in tall open-end chimney/lampshade. NOTE: 8in is shorter than original 10-12in target — verify expansion-chamber transition still clears bean bed. Handle with care — thermal shock risk. Test alongside SS tubes. 2-pack alt B075ZQFFK4. Link: https://www.amazon.com/dp/B06XJT46QL"
PLEN-001,Mechanical,Plenum body,1,"8in dia x 6in tall black stovepipe section + 3 slip-fit pipe caps (1 bottom + 2 swappable tops drilled to 2.5in and 3.0in chamber OD respectively)",Sourced 2026-05-04 — 2ft black pipe + 3 caps in hand,$0,Sourced,"DR-012 + DR-013 D3: 3 caps map to 1 permanent bottom + 2 swappable tops (one per chamber size) for the DR-001 dual-chamber test. PRE-USE GATES (DR-013): (1) verify pipe is bare/oxide-blackened mild steel — NOT galvanized HVAC duct. Zinc outgases at exactly our 200C operating temp. Galvanized = stop and re-source. (2) M7 cure-burn outdoors with propane torch until rolling-oil film stops smoking, before any food-path roasting. (3) Do NOT drill the 2.5in side-entry hole-saw until HTR-001 teardown is complete and HTR-CAN-001 outlet geometry is known — side-entry position depends on heater can length. Top caps: drill one to 2.5in chamber OD, one to 3.0in. Each is the clamp-ring substrate for its chamber size (DR-008). Bottom cap retained with 3 sheet-metal screws + high-temp RTV at the seam."
PLEN-002,Mechanical,Clamping ring - 2.5in chamber,1,"2in automotive exhaust flange (mild or stainless steel); ID ~2.0in OD ~3.5-4in; drill 3 fresh M4 tap holes in face. Fallback: 1/8in SS plate annular ring cut to OD ~4in ID 2.0in",Auto parts store (AutoZone/O'Reilly) — pick up alongside CHAM-001A/B exhaust pipe stock; SS plate offcut as fallback,$5-15 (flange) / $0-3 (fab fallback),Needs sourcing,"DR-008 + 2026-05-02 geometry correction (Option A). Ring ID 2.0in < chamber ID 2.37in so ring's inner face supports PLATE-001A (dia 2.37in) from below — plate drops inside chamber and rests on ring face. Chamber 2.5in OD passes through 2.5in cap hole; bottom rim sits on same ring face around the plate edge. 2in exhaust flange ID matches our target directly and is heat-rated for continuous exhaust use (massively over-spec at 200C). Factory bolt holes are oversized clearance (3/8in or 7/16in) — not M4-tappable; drill 3 fresh M4 tap holes elsewhere on the flange face. Tapped ring (M4 screws from above through cap face) preserves DR-008 ring+plate swap without breaking DR-012 bottom-cap RTV seal. 2-bolt flanges are most common; 3-bolt OK if available. Mild steel flange is fine for our temps; stainless is optional/cosmetic. M3: fender washers under cap-side screw heads"
PLEN-003,Mechanical,Clamping ring - 3.0in chamber,1,"2.5in automotive exhaust flange (mild or stainless steel); ID ~2.5in OD ~4-4.5in; drill 3 fresh M4 tap holes in face. Fallback: 1/8in SS plate annular ring cut to OD ~4.5in ID 2.5in",Auto parts store — same trip as PLEN-002 + CHAM-001A/B; SS plate offcut as fallback,$5-15 (flange) / $0 (fab fallback from PLEN-002 stock),Needs sourcing,"DR-008 + 2026-05-02 geometry correction (Option A). Ring ID 2.5in < chamber ID 2.87in; supports PLATE-001B (dia 2.87in) from below. Same exhaust-flange rationale as PLEN-002 — 2.5in flange ID matches our target ring ID directly. Drill 3 fresh M4 tap holes; ignore factory clearance holes. Swap pair with PLATE-001B for 3.0in chamber. Each chamber size also requires its own top cap (drilled to chamber OD); cap is part of the swap unit. M3: fender washers under cap-side screw heads"
PLEN-004,Mechanical,Plenum gasket,1,"Fiberglass stove rope 1in dia",Amazon — Woodstove gasket rope B01ETURR0M (7ft),$3-5,Sourced,"M8: Changed from ceramic fiber to fiberglass — ceramic fiber sheds respirable particles. High-temp seal between clamping ring and underside of top pipe cap face (DR-008 + DR-012). 7ft is more than needed; 9ft alt B01ETVGA22 / 20ft alt B01ETVSP5W. Link: https://www.amazon.com/dp/B01ETURR0M"
PLEN-005,Mechanical,Plenum side-entry stub tube,1,"2.5in OD SS tube stub ~2in long",Stock in hand — offcut from 24in 2.5in CHAM-001A stock,$0,Needs fabrication,"M2: Welded or press-fit through pan wall hole. Prevents pan wall deformation under hose clamp load. Use hose clamps inside + outside. Sized to match 2.5in chamber-side hose-clamp joint."
PLATE-001A,Mechanical,Distributor plate - 2.5 in,1,"Perforated SS sheet 4in dia disc with 1/16in holes (cut to ~2.37 in)",Amazon — FengYoo 4in round B09SF15S47,$5-8,Sourced,"DR-013 D1: run as-is at 22% open area. 4in 19-gauge 304 SS round disc with 1/16in holes. Cut to 2.37in for CHAM-001A. 22% open is well above the conventional fluid-bed sweet spot but is now characterizable via PRESS-001 dP measurement. If TP-001 stage 1 measures plate dP too low or shows channeling: install MESH-001 disc on top (Plan B). DIY-drilled custom plate at 4% open area held as Plan C. DR-013 D2 plate-float check: at 22% open, actual operating plate dP is far below 1in WC, so plate weight (~23g) is comfortably above actual lift force (~5gf). Link: https://www.amazon.com/dp/B09SF15S47"
PLATE-001B,Mechanical,Distributor plate - 3.0 in,1,"Perforated SS sheet 4in dia disc with 1/16in holes (cut to ~2.87 in)",Amazon — FengYoo 4in round B09SF15S47,$5-8,Sourced,"DR-013 D1: same handling as PLATE-001A. Cut to 2.87in for CHAM-001B. Order 2 of the FengYoo listing total to cover both chamber sizes. MESH-001 disc cut to 2.87in is the staged Plan B. Link: https://www.amazon.com/dp/B09SF15S47"
BAFFLE-001,Mechanical,Deflector ramp baffle,1,"SS sheet ~3x4in bent to 45deg",Salvage or hardware store,$0-3,Needs fabrication,"Pop-riveted to inside of cylindrical plenum wall opposite side-entry; redirects jet to plenum floor (DR-009 + DR-012). Curved wall vs flat — ramp seats on a chord; small edge standoff is immaterial. T2: If TP-001 shows uneven fluidization add second perforated baffle ~1in below distributor plate (6in plenum height has explicit headroom)"
EXH-001,Mechanical,Chaff expansion chamber,1,"~4in OD x 5in tall SS cylinder or can",Thrift store / restaurant supply (no good Amazon match),$3-10,Needs sourcing,"Step-up from chamber OD; chaff settles by velocity drop (DR-006). Look for SS flatware caddy / utensil cylinder / coffee tin / SS cup at thrift. No clean Amazon listing matches 4in dia x 5in tall in pure SS at low cost — defer to thrift hunt"
EXH-002,Mechanical,Chaff mesh screen,1,"30 mesh 304 SS woven sheet ~4in dia disc cut",Amazon — 30 mesh 304 SS B09VNSQGVH (11.8x23.6in),$3-5,Sourced,"Cut from sheet; fits inside top of expansion chamber (DR-006). T8: May clog with chaff oils — plan for mid-roast cleaning or test coarser mesh. Sheet is large — plenty for spares. Link: https://www.amazon.com/dp/B09VNSQGVH"
EXH-003,Mechanical,Hose clamps - all-stainless,4-6,"All-stainless worm-drive clamp sized to joints",Hardware store,$1-2 ea,Needs sourcing,M11: Must be all-stainless (not zinc-plated) for temperature tolerance. Covers blower-to-can heater-can-to-plenum and expansion chamber joints
EXH-004,Mechanical,Cone reducer - expansion chamber,1,"Sheet metal cone from chamber OD to ~4in expansion chamber OD",Fabricate from SS sheet,$0-3,Needs fabrication,M6: Transition from roast chamber to expansion chamber. Hose clamp at each end
CHAM-RET-001,Mechanical,Chamber tube retention hardware,1,"3 set screws or spring clips",Hardware store,$2-3,Needs sourcing,M4: Chamber tube must not be held by gravity alone — vibration or bump will tip it. Set screws through clamping ring or spring clips
BASE-001,Mechanical,Baseplate,1,"12in x 18in steel deck (cut from 12in x 24in sheet 2026-05-07) + 1in-class angle iron stock for perimeter, rear motor extension, and front electronics-tray extension",Sourced 2026-05-02 / cut 2026-05-07,$0,In hand,"Deck cut to 12in x 18in for the air-train zone (Zones B + C). Remaining 6in of stock + offcuts reserved for the angle-iron extensions per baseplate-layout.md §1: ~6in rear extension carries the motor (Zone A, off-deck); ~5in front extension carries the electronics tray (Zone D, off-deck). Total assembly length ~29in. Frame is 1in-class angle iron on the long edges + cross-members at deck rear, deck front, and outer ends of each extension. Tripod pattern from DR-013 mounts through the deck and extensions. M1 stiffening rationale unchanged"
HTR-CAN-001,Mechanical,Heater can body,1,"2.5in OD 304 SS exhaust pipe 7in long (HTR-001 element pack 1.5in x 6in measured 2026-05-07)",Stock in hand — offcut from 24in 2.5in SS pipe (CHAM-001A stock),$0,Needs fabrication,"M5: Build from 7in 2.5in OD pipe offcut. Mount element via mica former tabs. Insulate exterior with ceramic fiber or fiberglass wrap. Length 178mm (7in) per baseplate-layout.md §3.3 — 6in element + ~0.5in each end for inlet/outlet fittings."
WIRE-001,Electrical,Mains wiring,1 lot,"14 AWG stranded THHN or similar (12 AWG if using 20A circuit per E5)",Hardware store,$5-8,Needs sourcing,Do not cheap out - must be properly rated
WIRE-002,Electrical,Low-voltage signal wiring,1 lot,"22 AWG silicone hookup wire (6 colors); shielded cable for SPI runs near heater (E13)",Amazon — TUOFENG 22 AWG B07G2JWYDW,$0-5,Sourced,"Keep physically separated from mains; use shielded cable for TC amplifier SPI bus (separate purchase or salvage). 6 colors x 26ft each. Link: https://www.amazon.com/dp/B07G2JWYDW"
